nombre,circuito,señal,f [Hz]
ALL0000,C2,TRIANG,2.00E+01
ALL0001,,,1.00E+02
ALL0002,,,1.00E+03
ALL0003,,,1.00E+04
ALL0004,,,1.00E+05
ALL0005,,,1.00E+06
ALL0006,,SINE,2.00E+01
ALL0007,,,1.00E+02
ALL0008,,,1.00E+03
ALL0009,,,1.00E+04
ALL0010,,,1.00E+05
ALL0011,,,1.00E+06
ALL0012,,,1.00E+07
ALL0013,,SQUA,2.00E+01
ALL0014,,,1.00E+02
ALL0015,,,1.00E+03
ALL0016,,,1.00E+04
ALL0017,,,1.00E+05
ALL0018,,,1.00E+06
ALL0019,,,1.00E+07
ALL0020,C2,TRIANG,2.00E+01
ALL0021,,,1.00E+02
ALL0022,,,1.00E+03
ALL0023,,,1.00E+04
ALL0024,,,1.00E+05
ALL0025,,,1.00E+06
ALL0026,,SINE,x
ALL0027,,,x
ALL0028,,,x
ALL0029,,,x
ALL0030,,,x
ALL0031,,,x
ALL0032,,SINE,2.00E+01
ALL0033,,,1.00E+02
ALL0034,,,1.00E+03
ALL0035,,,1.00E+04
ALL0036,,,1.00E+05
ALL0037,,,1.00E+06
ALL0038,,,1.00E+07
ALL0039,C1,,x
ALL0040,,,x
ALL0041,,,x
ALL0042,,,x
ALL0043,,,x
ALL0044,,,x
ALL0045,,,x
ALL0046,,,x
ALL0047,C1,TRIANG,2.00E+01
ALL0048,,,1.00E+02
ALL0049,,,1.00E+03
ALL0050,,,1.00E+04
ALL0051,,,1.00E+05
ALL0052,,,1.00E+06
ALL0053,,SINE,2.00E+01
ALL0054,,,1.00E+02
ALL0055,,,1.00E+03
ALL0056,,,1.00E+04
ALL0057,,,1.00E+05
ALL0058,,,1.00E+06
ALL0059,,,1.00E+07
ALL0060,,SQUA,2.00E+01
ALL0061,,,1.00E+02
ALL0062,,,1.00E+03
ALL0063,,,1.00E+04
ALL0064,,,1.00E+05
ALL0065,,,1.00E+06
ALL0066,,,1.00E+07
