f_in[Hz],f_out[Hz],V_in[V],V_out[V],lag[us],V_scale_in[V],V_scale_out[V],t_scale[us],noise[V]
1.00E+01,1.00E+02,2.00E-02,1.92E-01,2.90E+04,1.00E-02,1.00E-01,2.50E+04,5.20E-03
1.00E+02,1.00E+02,2.00E-02,1.04E+00,4.00E+03,1.00E-02,2.00E-01,5.00E+03,5.20E-03
1.00E+03,1.00E+03,2.00E-02,1.60E+00,5.00E+02,5.00E-03,5.00E-01,2.50E+02,5.20E-03
1.00E+04,1.00E+04,2.00E-02,1.60E+00,5.00E+01,5.00E-03,5.00E-01,2.50E+01,5.20E-03
1.00E+05,1.00E+05,2.00E-02,1.76E+00,5.20E+00,5.00E-03,5.00E-01,2.50E+00,5.20E-03
1.00E+06,1.00E+06,2.00E-02,1.10E+00,6.90E-01,5.00E-03,5.00E-01,2.50E-01,5.20E-03
3.00E+06,3.00E+06,2.00E-02,4.00E-01,2.56E-01,5.00E-03,5.00E-01,1.00E-01,5.20E-03
5.00E+01,5.00E+01,2.00E-02,7.68E-01,6.80E+03,1.00E-02,2.00E-01,5.00E+03,5.20E-03
2.50E+01,2.50E+01,2.00E-02,4.00E-01,1.28E+04,1.00E-02,2.00E-01,2.00E-01,5.20E-03
5.00E+06,5.00E+06,2.00E-02,2.40E-01,1.64E-01,1.00E-02,2.00E-01,1.00E-01,5.20E-03
5.00E+05,5.00E+05,2.00E-02,1.44E+00,1.20E+00,1.00E-02,1.00E+00,1.00E+00,5.20E-03
,,,,,,,,
