lambda [nm],dlambda [nm],theta [deg],I [nA],dI [nA],
300,0.1,72.96,7.68,0.05,95.00
301,0.1,73.04,7.69,0.05,
302,0.1,72.97,7.68,0.05,
303,0.1,73.08,7.69,0.05,
304,0.1,73.28,7.71,0.05,
305,0.1,73.3,7.72,0.05,
306,0.1,73.75,7.76,0.05,
307,0.1,73.49,7.74,0.05,
308,0.1,73.92,7.78,0.05,
309,0.1,74.04,7.79,0.05,
310,0.1,74.02,7.79,0.05,
311,0.1,74.52,7.84,0.05,
312,0.1,74.47,7.84,0.05,
313,0.1,74.61,7.85,0.05,
314,0.1,74.79,7.87,0.05,
315,0.1,74.94,7.89,0.05,
316,0.1,74.82,7.88,0.05,
317,0.1,74.86,7.88,0.05,
318,0.1,75.1,7.91,0.05,
319,0.1,74.68,7.86,0.05,
320,0.1,74.65,7.86,0.05,
321,0.1,74.97,7.89,0.05,
322,0.1,75.35,7.93,0.05,
323,0.1,75.24,7.92,0.05,
324,0.1,75.72,7.97,0.05,
325,0.1,75.7,7.97,0.05,
326,0.1,76.11,8.01,0.05,
327,0.1,76.07,8.01,0.05,
328,0.1,76.14,8.01,0.05,
329,0.1,76.74,8.08,0.05,
330,0.1,76.76,8.08,0.05,
331,0.1,77.32,8.14,0.05,
332,0.1,77.48,8.16,0.05,
333,0.1,77.44,8.15,0.05,
334,0.1,79.63,8.38,0.05,
335,0.1,79.6,8.38,0.05,
336,0.1,79.78,8.40,0.05,
337,0.1,79.74,8.39,0.05,
338,0.1,79.65,8.38,0.05,
339,0.1,80.18,8.44,0.05,
340,0.1,80.18,8.44,0.05,
341,0.1,80.15,8.44,0.05,
342,0.1,79.87,8.41,0.05,
343,0.1,79.97,8.42,0.05,
344,0.1,79.98,8.42,0.05,
345,0.1,79.55,8.37,0.05,
346,0.1,79.79,8.40,0.05,
347,0.1,79.67,8.39,0.05,
348,0.1,80.13,8.43,0.05,
349,0.1,80.11,8.43,0.05,
350,0.1,80.2,8.44,0.05,
351,0.1,80.45,8.47,0.05,
352,0.1,80.49,8.47,0.05,
353,0.1,81.23,8.55,0.05,
354,0.1,81.27,8.55,0.05,
355,0.1,81.37,8.57,0.05,
356,0.1,81.23,8.55,0.05,
357,0.1,81.65,8.59,0.05,
358,0.1,81.63,8.59,0.05,
359,0.1,81.64,8.59,0.05,
360,0.1,81.65,8.59,0.05,
361,0.1,82.48,8.68,0.05,
362,0.1,82.71,8.71,0.05,
363,0.1,82.99,8.74,0.05,
364,0.1,82.92,8.73,0.05,
365,0.1,82.93,8.73,0.05,
366,0.1,83.02,8.74,0.05,
367,0.1,83.78,8.82,0.05,
368,0.1,84.14,8.86,0.05,
369,0.1,84.2,8.86,0.05,
370,0.1,83.79,8.82,0.05,
371,0.1,83.81,8.82,0.05,
372,0.1,83.69,8.81,0.05,
373,0.1,84.33,8.88,0.05,
374,0.1,85.4,8.99,0.05,
375,0.1,85.87,9.04,0.05,
376,0.1,85.8,9.03,0.05,
377,0.1,85.87,9.04,0.05,
378,0.1,85.74,9.03,0.05,
379,0.1,84.9,8.94,0.05,
380,0.1,84.44,8.89,0.05,
381,0.1,84.29,8.87,0.05,
382,0.1,84.86,8.93,0.05,
383,0.1,84.93,8.94,0.05,
384,0.1,85.07,8.95,0.05,
385,0.1,86.05,9.06,0.05,
386,0.1,85.96,9.05,0.05,
387,0.1,86.22,9.08,0.05,
388,0.1,87.66,9.23,0.05,
389,0.1,87.48,9.21,0.05,
390,0.1,86.58,9.11,0.05,
391,0.1,86.5,9.11,0.05,
392,0.1,86.59,9.11,0.05,
393,0.1,86.6,9.12,0.05,
394,0.1,86.58,9.11,0.05,
395,0.1,97.95,10.31,0.05,
396,0.1,102.33,10.77,0.05,
397,0.1,103.14,10.86,0.05,
398,0.1,98.67,10.39,0.05,
399,0.1,97.5,10.26,0.05,
400,0.1,96.84,10.19,0.05,
401,0.1,96.27,10.13,0.05,
402,0.1,96,10.11,0.05,
403,0.1,96.33,10.14,0.05,
404,0.1,96.33,10.14,0.05,
405,0.1,97.17,10.23,0.05,
406,0.1,97.11,10.22,0.05,
407,0.1,102.33,10.77,0.05,
408,0.1,103.29,10.87,0.05,
409,0.1,102.24,10.76,0.05,
410,0.1,102.87,10.83,0.05,
411,0.1,92,9.68,0.05,
412,0.1,85.59,9.01,0.05,
413,0.1,84.66,8.91,0.05,
414,0.1,84.55,8.90,0.05,
415,0.1,84.54,8.90,0.05,
416,0.1,84.5,8.89,0.05,
417,0.1,84.42,8.89,0.05,
418,0.1,84.66,8.91,0.05,
419,0.1,84.74,8.92,0.05,
420,0.1,85.63,9.01,0.05,
421,0.1,85.71,9.02,0.05,
422,0.1,85.11,8.96,0.05,
423,0.1,85.62,9.01,0.05,
424,0.1,87.73,9.23,0.05,
425,0.1,91.89,9.67,0.05,
426,0.1,90.89,9.57,0.05,
427,0.1,91.06,9.59,0.05,
428,0.1,91.76,9.66,0.05,
429,0.1,91.84,9.67,0.05,
430,0.1,88.53,9.32,0.05,
431,0.1,93.03,9.79,0.05,
432,0.1,91.83,9.67,0.05,
433,0.1,90.99,9.58,0.05,
434,0.1,93.51,9.84,0.05,
435,0.1,94.14,9.91,0.05,
436,0.1,92.7,9.76,0.05,
437,0.1,92.64,9.75,0.05,
438,0.1,92.19,9.70,0.05,
439,0.1,93.45,9.84,0.05,
440,0.1,94.11,9.91,0.05,
441,0.1,94.92,9.99,0.05,
442,0.1,91.35,9.62,0.05,
443,0.1,91.14,9.59,0.05,
444,0.1,94.08,9.90,0.05,
445,0.1,94.65,9.96,0.05,
446,0.1,97.74,10.29,0.05,
447,0.1,99.18,10.44,0.05,
448,0.1,99.6,10.48,0.05,
449,0.1,90.72,9.55,0.05,
450,0.1,88.8,9.35,0.05,
451,0.1,92.25,9.71,0.05,
452,0.1,106.68,11.23,0.05,
453,0.1,101.43,10.68,0.05,
454,0.1,96,10.11,0.05,
455,0.1,95.43,10.05,0.05,
456,0.1,95.07,10.01,0.05,
457,0.1,95.94,10.10,0.05,
458,0.1,95.61,10.06,0.05,
459,0.1,95.52,10.05,0.05,
460,0.1,95.79,10.08,0.05,
461,0.1,93.69,9.86,0.05,
462,0.1,95.56,10.06,0.05,
463,0.1,91.54,9.64,0.05,
464,0.1,89.29,9.40,0.05,
465,0.1,86.03,9.06,0.05,
466,0.1,85.74,9.03,0.05,
467,0.1,86.65,9.12,0.05,
468,0.1,87.62,9.22,0.05,
469,0.1,88.7,9.34,0.05,
470,0.1,87.29,9.19,0.05,
471,0.1,87.66,9.23,0.05,
472,0.1,85.44,8.99,0.05,
473,0.1,87.75,9.24,0.05,
474,0.1,89.64,9.44,0.05,
475,0.1,91.95,9.68,0.05,
476,0.1,105.93,11.15,0.05,
477,0.1,116.85,12.30,0.05,
478,0.1,118.08,12.43,0.05,
479,0.1,97.89,10.30,0.05,
480,0.1,87.24,9.18,0.05,
481,0.1,87.09,9.17,0.05,
