lambda [nm],dlambda [nm],theta [deg],I [nA],dI [nA],
300,0.1,11.5,1.17,0.05,98
301,0.1,11.15,1.14,0.05,
302,0.1,11.84,1.21,0.05,
303,0.1,12.12,1.24,0.05,
304,0.1,11.93,1.22,0.05,
305,0.1,11.71,1.19,0.05,
306,0.1,11.18,1.14,0.05,
307,0.1,11.38,1.16,0.05,
308,0.1,11.62,1.19,0.05,
309,0.1,11.7,1.19,0.05,
310,0.1,11.84,1.21,0.05,
311,0.1,11.2,1.14,0.05,
312,0.1,11.12,1.13,0.05,
313,0.1,12.05,1.23,0.05,
314,0.1,11.3,1.15,0.05,
315,0.1,11.29,1.15,0.05,
316,0.1,11.34,1.16,0.05,
317,0.1,11.53,1.18,0.05,
318,0.1,11.47,1.17,0.05,
319,0.1,11.56,1.18,0.05,
320,0.1,12.42,1.27,0.05,
321,0.1,11.9,1.21,0.05,
322,0.1,11.63,1.19,0.05,
323,0.1,11.72,1.20,0.05,
324,0.1,12.76,1.30,0.05,
325,0.1,12.78,1.30,0.05,
326,0.1,12.48,1.27,0.05,
327,0.1,11.67,1.19,0.05,
328,0.1,11.92,1.22,0.05,
329,0.1,12.77,1.30,0.05,
330,0.1,11.9,1.21,0.05,
331,0.1,12.28,1.25,0.05,
332,0.1,12.77,1.30,0.05,
333,0.1,12.88,1.31,0.05,
334,0.1,12.04,1.23,0.05,
335,0.1,12.87,1.31,0.05,
336,0.1,12.81,1.31,0.05,
337,0.1,12.61,1.29,0.05,
338,0.1,12.54,1.28,0.05,
339,0.1,12.43,1.27,0.05,
340,0.1,12.93,1.32,0.05,
341,0.1,12.9,1.32,0.05,
342,0.1,12.68,1.29,0.05,
343,0.1,12.79,1.31,0.05,
344,0.1,12.86,1.31,0.05,
345,0.1,13.47,1.37,0.05,
346,0.1,13.37,1.36,0.05,
347,0.1,13.32,1.36,0.05,
348,0.1,13.44,1.37,0.05,
349,0.1,14.11,1.44,0.05,
350,0.1,14.22,1.45,0.05,
351,0.1,15.22,1.55,0.05,
352,0.1,15.86,1.62,0.05,
353,0.1,19.94,2.03,0.05,
354,0.1,107.88,11.01,0.05,
355,0.1,173.19,17.67,0.05,
356,0.1,182.28,18.60,0.05,
357,0.1,149.37,15.24,0.05,
358,0.1,22.94,2.34,0.05,
359,0.1,15.91,1.62,0.05,
360,0.1,14.76,1.51,0.05,
361,0.1,14.6,1.49,0.05,
362,0.1,13.39,1.37,0.05,
363,0.1,12.75,1.30,0.05,
364,0.1,12.68,1.29,0.05,
365,0.1,12.58,1.28,0.05,
366,0.1,12.26,1.25,0.05,
367,0.1,12.39,1.26,0.05,
368,0.1,12.4,1.27,0.05,
369,0.1,12.18,1.24,0.05,
370,0.1,12.13,1.24,0.05,
371,0.1,12.17,1.24,0.05,
372,0.1,12.37,1.26,0.05,
373,0.1,12.1,1.23,0.05,
374,0.1,11.94,1.22,0.05,
375,0.1,12.02,1.23,0.05,
376,0.1,11.97,1.22,0.05,
