Flint,L [cm],I [A],dI [A],t [deg],dt [deg]
F2,2.05,0.50,0.01,0,1
F2,2.05,1.00,0.01,0,1
F2,2.05,1.50,0.01,0,1
F2,2.05,2.00,0.01,0,1
F2,2.05,2.50,0.01,0,1
F2,2.05,3.00,0.01,0,1
F2,2.05,3.50,0.01,0,1
F2,2.05,4.00,0.01,0,1
F2,2.05,4.50,0.01,0,1
F2,2.05,4.92,0.01,0,1
F2,3.05,0.50,0.01,0,1
F2,3.05,1.00,0.01,0,1
F2,3.05,1.50,0.01,1,1
F2,3.05,2.00,0.01,1,1
F2,3.05,2.50,0.01,2,1
F2,3.05,3.00,0.01,2,1
F2,3.05,3.50,0.01,3,1
F2,3.05,4.00,0.01,3,1
F2,3.05,4.50,0.01,3,1
F2,3.05,4.92,0.01,3,1
F2,4.04,0.50,0.01,0,1
F2,4.04,1.00,0.01,3,1
F2,4.04,1.50,0.01,4,1
F2,4.04,2.00,0.01,4,1
F2,4.04,2.50,0.01,3,1
F2,4.04,3.00,0.01,3,1
F2,4.04,3.50,0.01,4,1
F2,4.04,4.00,0.01,4,1
F2,4.04,4.50,0.01,5,1
F2,4.04,4.92,0.01,4,1
F2,5.05,0.50,0.01,3,1
F2,5.05,1.00,0.01,5,1
F2,5.05,1.50,0.01,7,1
F2,5.05,2.00,0.01,4,1
F2,5.05,2.50,0.01,3,1
F2,5.05,3.00,0.01,4,1
F2,5.05,3.50,0.01,5,1
F2,5.05,4.00,0.01,5,1
F2,5.05,4.50,0.01,7,1
F2,5.05,4.92,0.01,6,1
SF5,3.05,0.50,0.01,0,1
SF5,3.05,1.00,0.01,-2,1
SF5,3.05,1.50,0.01,1,1
SF5,3.05,2.00,0.01,0,1
SF5,3.05,2.50,0.01,2,1
SF5,3.05,3.00,0.01,2,1
SF5,3.05,3.50,0.01,1,1
SF5,3.05,4.00,0.01,2,1
SF5,3.05,4.50,0.01,3,1
SF5,3.05,4.92,0.01,3,1
SF5,4.04,0.50,0.01,2,1
SF5,4.04,1.00,0.01,3,1
SF5,4.04,1.50,0.01,4,1
SF5,4.04,2.00,0.01,3,1
SF5,4.04,2.50,0.01,3,1
SF5,4.04,3.00,0.01,3,1
SF5,4.04,3.50,0.01,2,1
SF5,4.04,4.00,0.01,5,1
SF5,4.04,4.50,0.01,5,1
SF5,4.04,4.92,0.01,5,1
SF5,5.05,0.50,0.01,0,1
SF5,5.05,1.00,0.01,0,1
SF5,5.05,1.50,0.01,1,1
SF5,5.05,2.00,0.01,3,1
SF5,5.05,2.50,0.01,4,1
SF5,5.05,3.00,0.01,5,1
SF5,5.05,3.50,0.01,3,1
SF5,5.05,4.00,0.01,5,1
SF5,5.05,4.50,0.01,7,1
SF5,5.05,4.92,0.01,8,1
