Flint,L [cm],I0 [A],t [deg],dt [deg],I [nA],dI [nA],---
F2,5.05,4.95,-10,1,1.77,0.05,5.3
F2,5.05,4.95,-5,1,1.60,0.05,4.8
F2,5.05,4.95,0,1,1.43,0.05,4.3
F2,5.05,4.95,5,1,1.13,0.05,3.4
F2,5.05,4.95,10,1,0.87,0.05,2.6
F2,5.05,4.95,15,1,1.10,0.05,3.3
F2,5.05,4.95,20,1,1.33,0.05,4
F2,5.05,4.95,25,1,1.37,0.05,4.1
F2,5.05,4.95,30,1,1.50,0.05,4.5
F2,5.05,4.95,35,1,1.60,0.05,4.8
F2,5.05,4.95,40,1,1.67,0.05,5
F2,4.04,4.96,-10,1,1.47,0.05,4.4
F2,4.04,4.96,-5,1,1.27,0.05,3.8
F2,4.04,4.96,0,1,0.97,0.05,2.9
F2,4.04,4.96,5,1,0.47,0.05,1.4
F2,4.04,4.96,10,1,0.87,0.05,2.6
F2,4.04,4.96,15,1,1.20,0.05,3.6
F2,4.04,4.96,20,1,1.47,0.05,4.4
F2,4.04,4.96,25,1,1.63,0.05,4.9
F2,4.04,4.96,30,1,1.73,0.05,5.2
F2,4.04,4.96,35,1,1.87,0.05,5.6
F2,4.04,4.96,40,1,1.97,0.05,5.9
SF5,5.04,4.95,-10,1,1.17,0.05,3.5
SF5,5.04,4.95,-5,1,0.80,0.05,2.4
SF5,5.04,4.95,0,1,0.73,0.05,2.2
SF5,5.04,4.95,5,1,1.00,0.05,3
SF5,5.04,4.95,10,1,1.03,0.05,3.1
SF5,5.04,4.95,15,1,1.30,0.05,3.9
SF5,5.04,4.95,20,1,1.60,0.05,4.8
SF5,5.04,4.95,25,1,1.70,0.05,5.1
SF5,5.04,4.95,30,1,1.73,0.05,5.2
SF5,5.04,4.95,35,1,1.23,0.05,3.7
SF5,5.04,4.95,40,1,1.33,0.05,4
SF5,4.04,4.95,-10,1,1.60,0.05,4.8
SF5,4.04,4.95,-5,1,1.37,0.05,4.1
SF5,4.04,4.95,0,1,1.10,0.05,3.3
SF5,4.04,4.95,5,1,0.47,0.05,1.4
SF5,4.04,4.95,10,1,1.07,0.05,3.2
SF5,4.04,4.95,15,1,1.47,0.05,4.4
SF5,4.04,4.95,20,1,1.67,0.05,5
SF5,4.04,4.95,25,1,1.73,0.05,5.2
SF5,4.04,4.95,30,1,1.83,0.05,5.5
SF5,4.04,4.95,35,1,1.93,0.05,5.8
SF5,4.04,4.95,40,1,2.00,0.05,6
