I [A],dI [A],B [G],dB [G],,
0.006,0.001,2,1,,
0.010,0.001,4,1,,
0.020,0.001,7,1,,
0.030,0.001,11,1,,
0.040,0.001,15,1,,
0.051,0.001,19,1,,
0.062,0.001,23,1,,
0.071,0.001,26,1,,
0.081,0.001,30,1,,
0.090,0.001,33,1,,
0.100,0.001,37,1,,
0.110,0.001,41,1,,
0.120,0.001,44,1,,
0.130,0.001,48,1,,
0.140,0.001,52,1,,
0.150,0.001,56,1,,
0.160,0.001,59,1,,
0.170,0.001,63,1,,
0.180,0.001,61,1,,
0.190,0.001,72,1,,
0.200,0.001,75,1,,
0.210,0.001,78,1,,
0.220,0.001,82,1,,
0.230,0.001,86,1,,
0.240,0.001,90,1,,
0.250,0.001,94,1,,
0.260,0.001,98,1,,
0.270,0.001,102,1,,
0.280,0.001,106,1,,
0.290,0.001,110,1,,
0.300,0.001,114,1,,
0.310,0.001,118,1,,
0.320,0.001,121,1,,
0.330,0.001,125,1,,
0.340,0.001,129,1,,
0.350,0.001,133,1,,
0.360,0.001,137,1,,
0.370,0.001,141,1,,
0.380,0.001,145,1,,
0.390,0.001,149,1,,
0.400,0.001,152,1,,
0.410,0.001,156,1,,
0.420,0.001,160,1,,
0.430,0.001,164,1,,
0.440,0.001,168,1,,
0.450,0.001,172,1,,
0.460,0.001,176,1,,
0.470,0.001,180,1,,
0.480,0.001,183,1,,Ruta123456
0.490,0.001,187,1,,
0.500,0.001,191,1,,
0.510,0.001,195,1,,
0.520,0.001,199,1,,
0.530,0.001,203,1,,
0.540,0.001,207,1,,
0.550,0.001,211,1,,
0.560,0.001,215,1,,
0.570,0.001,219,1,,
0.580,0.001,223,1,,
0.590,0.001,227,1,,
0.600,0.001,231,1,,
0.610,0.001,234,1,,
0.620,0.001,238,1,,
0.630,0.001,243,1,,
0.640,0.001,247,1,,
0.650,0.001,250,1,,
0.660,0.001,255,1,,
0.670,0.001,259,1,,
0.680,0.001,262,1,,
0.690,0.001,266,1,,
0.700,0.001,270,1,,
0.710,0.001,274,1,,
0.720,0.001,278,1,,
0.730,0.001,283,1,,
0.740,0.001,286,1,,
0.750,0.001,290,1,,
0.760,0.001,294,1,,
0.770,0.001,298,1,,
0.780,0.001,302,1,,
0.790,0.001,330,1,,
0.800,0.001,334,1,,
0.810,0.001,338,1,,
0.820,0.001,342,1,,
0.830,0.001,347,1,,
0.840,0.001,351,1,,
0.850,0.001,355,1,,
0.860,0.001,360,1,,
0.870,0.001,364,1,,
0.880,0.001,369,1,,
0.890,0.001,372,1,,
0.900,0.001,377,1,,
0.910,0.001,374,1,,
0.920,0.001,380,1,,
0.930,0.001,382,1,,
0.940,0.001,387,1,,
0.950,0.001,391,1,,
0.960,0.001,395,1,,
0.970,0.001,400,1,,
0.980,0.001,404,1,,
0.990,0.001,409,1,,
1.000,0.001,412,1,,
1.050,0.01,434,1,,
1.100,0.01,454,1,,
1.150,0.01,476,1,,
1.200,0.01,497,1,,
1.250,0.01,519,1,,
1.300,0.01,541,1,,
1.350,0.01,561,1,,
1.400,0.01,582,1,,
1.450,0.01,603,1,,
1.500,0.01,623,1,,
1.550,0.01,647,1,,
1.600,0.01,666,1,,
1.650,0.01,690,1,,
1.700,0.01,710,1,,
1.750,0.01,732,1,,
1.800,0.01,753,1,,
1.850,0.01,774,1,,
1.900,0.01,796,1,,
1.950,0.01,817,1,,
2.000,0.01,839,1,,
2.050,0.01,861,1,,
2.100,0.01,885,1,,
2.150,0.01,904,1,,
2.200,0.01,920,1,,
2.250,0.01,947,1,,
2.300,0.01,968,1,,
2.350,0.01,990,1,,
2.400,0.01,1013,1,,
2.450,0.01,1034,1,,
2.500,0.01,1057,1,,
2.550,0.01,1076,1,,
2.600,0.01,1098,1,,
2.650,0.01,1119,1,,
2.700,0.01,1141,1,,
2.750,0.01,1163,1,,
2.800,0.01,1185,1,,
2.850,0.01,1205,1,,
2.900,0.01,1226,1,,
2.950,0.01,1248,1,,
3.000,0.01,1270,1,,
3.050,0.01,1292,1,,
3.100,0.01,1314,1,,
3.150,0.01,1334,1,,
3.200,0.01,1355,1,,
3.250,0.01,1377,1,,
3.300,0.01,1399,1,,
3.350,0.01,1420,1,,
3.400,0.01,1441,1,,
3.450,0.01,1462,1,,
3.500,0.01,1480,1,,
3.550,0.01,1503,1,,
3.600,0.01,1528,1,,
3.650,0.01,1547,1,,
3.700,0.01,1571,1,,
3.750,0.01,1589,1,,
3.800,0.01,1611,1,,
3.850,0.01,1633,1,,
3.900,0.01,1654,1,,
3.950,0.01,1676,1,,
4.000,0.01,1693,1,,
4.050,0.01,1710,1,,
4.100,0.01,1739,1,,
4.150,0.01,1761,1,,
4.200,0.01,1785,1,,
4.250,0.01,1801,1,,
4.300,0.01,1824,1,,
4.350,0.01,1846,1,,
4.400,0.01,1866,1,,
4.450,0.01,1888,1,,
4.500,0.01,1908,1,,
4.550,0.01,1929,1,,
4.600,0.01,1951,1,,
4.650,0.01,1973,1,,
4.700,0.01,1994,1,,
4.750,0.01,2015,1,,
4.800,0.01,2037,1,,
4.850,0.01,2057,1,,
4.900,0.01,2080,1,,
4.950,0.01,2100,1,,
4.900,0.01,2080,1,,
4.800,0.01,2040,1,,
4.700,0.01,2000,1,,
4.600,0.01,1960,1,,
4.500,0.01,1920,1,,
4.400,0.01,1880,1,,
4.300,0.01,1843,1,,
4.200,0.01,1803,1,,
4.100,0.01,1762,1,,
4.000,0.01,1721,1,,
3.900,0.01,1660,1,,
