I [A],dI [A],B [G],dB [G]
0.006,0.001,2,1
0.01,0.001,4,1
0.02,0.001,7,1
0.03,0.001,11,1
0.04,0.001,15,1
0.1,0.001,37,1
0.15,0.001,56,1
0.2,0.001,75,1
0.25,0.001,94,1
0.3,0.001,114,1
0.35,0.001,133,1
0.4,0.001,152,1
0.45,0.001,172,1
0.5,0.001,191,1
0.55,0.001,211,1
0.6,0.001,231,1
0.65,0.001,260,1
0.7,0.001,280,1
0.75,0.001,300,1
0.8,0.001,334,1
0.85,0.001,355,1
0.9,0.001,377,1
0.95,0.001,391,1
1,0.001,412,1
1.05,0.01,434,1
1.1,0.01,454,1
1.15,0.01,476,1
1.2,0.01,497,1
1.25,0.01,519,1
1.3,0.01,541,1
1.35,0.01,561,1
1.4,0.01,582,1
1.45,0.01,603,1
1.5,0.01,623,1
1.55,0.01,647,1
1.6,0.01,666,1
1.65,0.01,690,1
1.7,0.01,710,1
1.75,0.01,732,1
1.8,0.01,753,1
1.85,0.01,774,1
1.9,0.01,796,1
1.95,0.01,817,1
2,0.01,839,1
2.05,0.01,861,1
2.1,0.01,885,1
2.15,0.01,904,1
2.2,0.01,920,1
2.25,0.01,947,1
2.3,0.01,968,1
2.35,0.01,990,1
2.4,0.01,1013,1
2.45,0.01,1034,1
2.5,0.01,1057,1
2.55,0.01,1076,1
2.6,0.01,1098,1
2.65,0.01,1119,1
2.7,0.01,1141,1
2.75,0.01,1163,1
2.8,0.01,1185,1
2.85,0.01,1205,1
2.9,0.01,1226,1
2.95,0.01,1248,1
3,0.01,1270,1
3.05,0.01,1292,1
3.1,0.01,1314,1
3.15,0.01,1334,1
3.2,0.01,1355,1
3.25,0.01,1377,1
3.3,0.01,1399,1
3.35,0.01,1420,1
3.4,0.01,1441,1
3.45,0.01,1462,1
3.5,0.01,1480,1
3.55,0.01,1503,1
3.6,0.01,1528,1
3.65,0.01,1547,1
3.7,0.01,1571,1
3.75,0.01,1589,1
3.8,0.01,1611,1
3.85,0.01,1633,1
3.9,0.01,1654,1
3.95,0.01,1676,1
4,0.01,1693,1
4.05,0.01,1710,1
4.1,0.01,1739,1
4.15,0.01,1761,1
4.2,0.01,1785,1
4.25,0.01,1801,1
4.3,0.01,1824,1
4.35,0.01,1846,1
4.4,0.01,1866,1
4.45,0.01,1888,1
4.5,0.01,1908,1
4.55,0.01,1929,1
4.6,0.01,1951,1
4.65,0.01,1973,1
4.7,0.01,1994,1
4.75,0.01,2015,1
4.8,0.01,2037,1
4.85,0.01,2057,1
4.9,0.01,2080,1
4.95,0.01,2100,1
