theta [deg],dtheta [deg],I [mV],dI [mV]
20,0.5,-1.9,0.05
21,0.5,-7.6,0.05
22,0.5,-10,0.05
23,0.5,-10.6,0.05
24,0.5,-1.5,0.05
25,0.5,14.9,0.05
26,0.5,42.5,0.05
27,0.5,83.2,0.05
28,0.5,123.6,0.05
29,0.5,183.7,0.05
30,0.5,239,0.5
31,0.5,292,0.5
32,0.5,357,0.5
33,0.5,420,0.5
34,0.5,490,0.5
35,0.5,592,0.5
36,0.5,672,0.5
37,0.5,814,0.5
38,0.5,948,0.5
39,0.5,1004,0.5
40,0.5,1142,0.5
41,0.5,1127,0.5
42,0.5,1034,0.5
43,0.5,886,0.5
44,0.5,559,0.5
45,0.5,376,0.5
46,0.5,235,0.5
47,0.5,143.2,0.05
48,0.5,96.1,0.05
49,0.5,57.4,0.05
50,0.5,42.9,0.05
51,0.5,33.4,0.05
52,0.5,11.5,0.05
53,0.5,-0.01,0.05
54,0.5,-11.5,0.05
55,0.5,-13.8,0.05
56,0.5,-0.6,0.05
57,0.5,31.1,0.05
58,0.5,71.1,0.05
59,0.5,215,0.5
60,0.5,545,0.5
61,0.5,819,0.5
62,0.5,1273,0.5
63,0.5,2190,5
64,0.5,2130,5
65,0.5,1193,0.5
66,0.5,710,0.5
67,0.5,379,0.5
68,0.5,351,0.5
69,0.5,571,0.5
70,0.5,707,0.5
71,0.5,1105,0.5
72,0.5,1225,0.5
73,0.5,916,0.5
74,0.5,646,0.05
75,0.5,294,0.05
76,0.5,273,0.5
77,0.5,247,0.5
78,0.5,253,0.5
79,0.5,81,0.05
80,0.5,25.9,0.05
81,0.5,30.4,0.05
82,0.5,53.7,0.05
83,0.5,103.4,0.05
84,0.5,90.3,0.05
85,0.5,47.6,0.05
86,0.5,25.3,0.05
87,0.5,-3.2,0.05
88,0.5,-3.9,0.05
89,0.5,-4.3,0.05
90,0.5,-3.5,0.05
