theta [deg],dtheta [deg],I [mV],dI [mV],,
20,0.5,4.4,0.05,,
21,0.5,8.9,0.05,,
22,0.5,13.3,0.05,,
23,0.5,16.8,0.05,,
24,0.5,17.2,0.05,,
25,0.5,18.1,0.05,,
26,0.5,18.5,0.05,,
27,0.5,11.4,0.05,,
28,0.5,3.3,0.05,,
29,0.5,-3.1,0.05,,
30,0.5,-8.1,0.05,,
31,0.5,-10.3,0.05,,
32,0.5,-10.1,0.05,,
33,0.5,-6.7,0.05,,
34,0.5,-5.5,0.05,,
35,0.5,-3.6,0.05,,
36,0.5,15.9,0.05,,
37,0.5,26.2,0.05,,
38,0.5,42.3,0.05,,
39,0.5,81.6,0.05,,
40,0.5,133.4,0.05,,
41,0.5,282,0.5,,
42,0.5,422,0.5,,
43,0.5,624,0.5,,
44,0.5,906,0.5,,
45,0.5,1079,0.5,,
46,0.5,1101,0.5,,
47,0.5,986,0.5,,
48,0.5,682,0.5,,
49,0.5,412,0.5,,
50,0.5,234,0.5,,
51,0.5,102.4,0.05,,
52,0.5,35.7,0.05,,
53,0.5,19.7,0.05,,
54,0.5,24.7,0.05,,
55,0.5,33.5,0.05,,
56,0.5,26.1,0.05,,
57,0.5,16.1,0.05,,
58,0.5,8.5,0.05,,
59,0.5,0.6,0.05,,
60,0.5,-7.4,0.05,,
61,0.5,8.3,0.05,,
62,0.5,40.2,0.05,,
63,0.5,80.3,0.05,,
64,0.5,83.6,0.05,,
65,0.5,93.1,0.05,,
66,0.5,65.1,0.05,,
67,0.5,-5.7,0.05,,
68,0.5,-7,0.05,,
69,0.5,13.3,0.05,,
70,0.5,100,0.05,,
71,0.5,144.6,0.05,,
72,0.5,47.4,0.05,,
73,0.5,61.3,0.05,,
74,0.5,160,0.5,,
75,0.5,237,0.5,,
76,0.5,347,0.5,,
77,0.5,425,0.5,,
78,0.5,527,0.5,,
79,0.5,797,0.5,,
80,0.5,1629,0.5,,
81,0.5,3110,5,,
82,0.5,5040,5,,
83,0.5,5040,5,,
84,0.5,5040,5,,
85,0.5,5040,5,,
86,0.5,5040,5,,
87,0.5,5040,5,,
88,0.5,5040,5,,
89,0.5,5040,5,,
90,0.5,5040,5,,
