theta [deg],dtheta [deg],I [mV],dI [mV],,,
20,0.5,8.5,0.05,,,
21,0.5,5.5,0.05,,,
22,0.5,1.2,0.05,,,
23,0.5,3,0.05,,,
24,0.5,7.9,0.05,,,
25,0.5,12.5,0.05,,,
26,0.5,33.2,0.05,,,
27,0.5,61.4,0.05,,,
28,0.5,136.2,0.05,,,
29,0.5,226,0.5,,,
30,0.5,341,0.5,,,
31,0.5,474,0.5,,,
32,0.5,612,0.5,,,
33,0.5,764,0.5,,,
34,0.5,836,0.5,,,
35,0.5,825,0.5,,,
36,0.5,721,0.5,,,
37,0.5,659,0.5,,,
38,0.5,454,0.5,,,
39,0.5,239,0.5,,,
40,0.5,116.9,0.05,,,
41,0.5,97.7,0.05,,,
42,0.5,122.8,0.05,,,
43,0.5,218,0.5,,,
44,0.5,283,0.5,,,
45,0.5,306,0.5,,,
46,0.5,290,0.5,,,
47,0.5,252,0.5,,,
48,0.5,153.3,0.05,,,
49,0.5,79.4,0.05,,,
50,0.5,4.3,0.05,,,
51,0.5,-8.8,0.05,,,
52,0.5,-11.1,0.05,,,
53,0.5,-10.9,0.05,,,
54,0.5,-10.1,0.05,,,
55,0.5,-10.3,0.05,,,
56,0.5,-13.5,0.05,,,
57,0.5,-12.9,0.05,,,
58,0.5,-0.3,0.05,,,
59,0.5,19.5,0.05,,,
60,0.5,61.4,0.05,,,
61,0.5,163.2,0.05,,,
62,0.5,152.5,0.05,,,
63,0.5,131.6,0.05,,,
64,0.5,85.9,0.05,,,
65,0.5,-4.5,0.05,,,
66,0.5,-6.7,0.05,,,
67,0.5,21.7,0.05,,,
68,0.5,142.7,0.05,,,
69,0.5,248,0.5,,,
70,0.5,276,0.5,,,
71,0.5,260,0.5,,,
72,0.5,219,0.5,,,
73,0.5,126.3,0.05,,,
74,0.5,90.3,0.05,,,
75,0.5,91,0.05,,,
76,0.5,158.1,0.5,,,
77,0.5,239,0.5,,,
78,0.5,354,0.5,,,
79,0.5,543,0.5,,,
80,0.5,558,0.5,,,
81,0.5,747,0.5,,,
82,0.5,883,0.5,,,
83,0.5,960,0.5,,,
84,0.5,1061,0.5,,,
85,0.5,1088,0.5,,,
86,0.5,1117,0.5,,,
87,0.5,1110,0.5,,,
88,0.5,923,0.5,,,
89,0.5,824,0.5,,,
90,0.5,765,0.5,,,
