d [cm],dd [cm],I [V],dI [V]
33.0,0.05,1.666,0.005
33.1,0.05,1.735,0.005
33.2,0.05,1.890,0.005
33.3,0.05,2.540,0.005
33.4,0.05,3.060,0.005
33.5,0.05,2.250,0.005
33.6,0.05,1.787,0.005
33.7,0.05,1.565,0.005
33.8,0.05,1.394,0.005
33.9,0.05,1.320,0.005
34.0,0.05,1.281,0.005
34.1,0.05,1.359,0.005
34.2,0.05,1.512,0.005
34.3,0.05,1.553,0.005
34.4,0.05,1.620,0.005
34.5,0.05,1.790,0.005
34.6,0.05,2.130,0.005
34.7,0.05,2.270,0.005
34.8,0.05,2.650,0.005
34.9,0.05,2.790,0.005
35.0,0.05,2.880,0.005
35.1,0.05,2.940,0.005
35.2,0.05,2.890,0.005
35.3,0.05,2.480,0.005
35.4,0.05,1.365,0.005
35.5,0.05,1.288,0.005
35.6,0.05,1.325,0.005
35.7,0.05,1.334,0.005
35.8,0.05,1.470,0.005
35.9,0.05,1.573,0.005
36.0,0.05,1.837,0.005
36.1,0.05,2.020,0.005
36.2,0.05,2.270,0.005
36.3,0.05,2.410,0.005
36.4,0.05,2.430,0.005
36.5,0.05,2.470,0.005
36.6,0.05,2.150,0.005
36.7,0.05,1.626,0.005
36.8,0.05,1.448,0.005
36.9,0.05,1.276,0.005
37.0,0.05,1.263,0.005
37.1,0.05,1.290,0.005
37.2,0.05,1.422,0.005
37.3,0.05,1.448,0.005
37.4,0.05,1.485,0.005
37.5,0.05,1.700,0.005
37.6,0.05,1.818,0.005
37.7,0.05,2.070,0.005
37.8,0.05,2.200,0.005
37.9,0.05,2.210,0.005
38.0,0.05,1.970,0.005
38.1,0.05,1.802,0.005
38.2,0.05,1.675,0.005
38.3,0.05,1.318,0.005
38.4,0.05,1.304,0.005
38.5,0.05,1.216,0.005
38.6,0.05,1.276,0.005
38.7,0.05,1.376,0.005
38.8,0.05,1.483,0.005
38.9,0.05,1.562,0.005
39.0,0.05,1.709,0.005
39.1,0.05,1.911,0.005
39.2,0.05,2.020,0.005
39.3,0.05,2.000,0.005
39.4,0.05,1.922,0.005
39.5,0.05,1.491,0.005
39.6,0.05,1.324,0.005
39.7,0.05,1.236,0.005
39.8,0.05,1.121,0.005
39.9,0.05,1.125,0.005
40.0,0.05,1.178,0.005
40.1,0.05,1.189,0.005
40.2,0.05,1.344,0.005
40.3,0.05,1.452,0.005
40.4,0.05,1.693,0.005
40.5,0.05,1.806,0.005
