d [cm],delta_d [cm],I [V],delta_I [V],,
30.2,0.05,2.29,0.01,,
30.4,0.05,2.65,0.01,,
30.6,0.05,2.57,0.01,,
30.8,0.05,1.669,0.001,,
31.0,0.05,1.097,0.001,,
31.2,0.05,1.328,0.001,,
31.4,0.05,1.201,0.001,,
31.6,0.05,1.091,0.001,,
31.8,0.05,1.912,0.001,,
32.0,0.05,2.11,0.01,,
32.2,0.05,1.314,0.001,,
32.4,0.05,1.008,0.001,,
32.6,0.05,1.202,0.001,,
32.8,0.05,1.266,0.001,,
33.0,0.05,1.356,0.001,,
33.2,0.05,1.92,0.01,,
33.4,0.05,2.11,0.01,,
33.6,0.05,1.428,0.001,,
33.8,0.05,1.034,0.001,,
34.0,0.05,0.945,0.001,,
34.2,0.05,1.061,0.001,,
34.4,0.05,1.218,0.001,,
34.6,0.05,1.469,0.001,,
34.8,0.05,2.000,0.001,,
35.0,0.05,1.677,0.001,,
