theta [deg],delta_theta [deg],I [mV],delta_I [mV]
270,0.5,-0.6,0.05
272,0.5,-0.7,0.05
274,0.5,-0.9,0.05
276,0.5,-1.1,0.05
278,0.5,-0.7,0.05
280,0.5,0.2,0.05
282,0.5,1.7,0.05
284,0.5,2.7,0.05
286,0.5,0.9,0.05
288,0.5,0,0.05
290,0.5,0.2,0.05
292,0.5,1.9,0.05
294,0.5,0.8,0.05
296,0.5,-0.3,0.05
298,0.5,-1,0.05
300,0.5,-0.5,0.05
302,0.5,0.4,0.05
304,0.5,0.9,0.05
306,0.5,0.4,0.05
308,0.5,0.1,0.05
310,0.5,0.17,0.05
312,0.5,6,0.05
314,0.5,13.9,0.05
316,0.5,20.4,0.05
318,0.5,21.3,0.05
320,0.5,18.4,0.05
322,0.5,20.2,0.05
324,0.5,26.5,0.05
326,0.5,36.5,0.05
327,0.5,40.7,0.05
328,0.5,42,0.05
329,0.5,29.6,0.05
330,0.5,21.8,0.05
332,0.5,11.5,0.05
334,0.5,3.4,0.05
336,0.5,0.9,0.05
338,0.5,3.3,0.05
340,0.5,4.1,0.05
