theta [deg],delta_theta [deg],I [mV],delta_I [mV]
270,0.5,1.3,0.5
272,0.5,1.5,0.5
274,0.5,3.8,0.5
276,0.5,3.2,0.5
278,0.5,3.1,0.5
280,0.5,4.4,0.5
282,0.5,5.4,0.5
284,0.5,4.9,0.5
286,0.5,6.6,0.5
288,0.5,7.6,0.5
290,0.5,5.3,0.5
292,0.5,5.2,0.5
294,0.5,3.9,0.5
296,0.5,3.1,0.5
298,0.5,1.9,0.5
300,0.5,0.8,0.5
302,0.5,0.6,0.5
304,0.5,1.4,0.5
306,0.5,1.9,0.5
308,0.5,5.1,0.5
310,0.5,6.7,0.5
312,0.5,6.5,0.5
314,0.5,6.2,0.5
316,0.5,6.3,0.5
318,0.5,0.2,0.5
320,0.5,13.5,0.5
322,0.5,2.8,0.5
324,0.5,7.3,0.5
326,0.5,10.6,0.5
328,0.5,0.4,0.5
330,0.5,5.4,0.5
332,0.5,0.8,0.5
334,0.5,0.9,0.5
336,0.5,0.4,0.5
338,0.5,0.1,0.5
340,0.5,0.5,0.5
