theta [deg],delta_theta [deg],I [V],delta_I [V]
270,0.5,0.3,0.05
272,0.5,1.3,0.05
274,0.5,1.9,0.05
276,0.5,1.5,0.05
278,0.5,0.4,0.05
280,0.5,0.2,0.05
282,0.5,1.1,0.05
284,0.5,3.1,0.05
286,0.5,5.1,0.05
288,0.5,6.9,0.05
290,0.5,5.6,0.05
292,0.5,2.6,0.05
294,0.5,0.3,0.05
296,0.5,-0.2,0.05
298,0.5,0,0.05
300,0.5,0.7,0.05
302,0.5,16,0.05
304,0.5,22.6,0.05
306,0.5,5.1,0.05
308,0.5,15.1,0.05
310,0.5,39.9,0.05
312,0.5,84.8,0.05
314,0.5,131.6,0.05
316,0.5,168.3,0.05
318,0.5,190,0.5
319,0.5,190,0.5
320,0.5,189,0.5
322,0.5,156.7,0.05
324,0.5,105.4,0.05
326,0.5,62.9,0.05
328,0.5,30.3,0.05
330,0.5,12.6,0.05
332,0.5,7.8,0.05
334,0.5,10.6,0.05
336,0.5,16.3,0.05
338,0.5,24.9,0.05
340,0.5,26.6,0.05
