theta [deg],delta_theta [deg],I [V],delta_I [V]
270,0.5,4.9,0.05
272,0.5,22.7,0.05
274,0.5,44.4,0.05
276,0.5,53.6,0.05
278,0.5,24.1,0.05
280,0.5,4.3,0.05
282,0.5,-0.1,0.05
284,0.5,3.4,0.05
286,0.5,35.3,0.05
288,0.5,69.9,0.05
290,0.5,107.6,0.05
292,0.5,127.7,0.05
294,0.5,140.4,0.05
295,0.5,143.8,0.05
296,0.5,141.2,0.05
298,0.5,134.5,0.05
300,0.5,119.5,0.05
302,0.5,99,0.05
304,0.5,76.5,0.05
306,0.5,52.8,0.05
308,0.5,38.2,0.05
310,0.5,28.5,0.05
312,0.5,21.1,0.05
314,0.5,17.5,0.05
316,0.5,15.6,0.05
318,0.5,14.3,0.05
320,0.5,13.1,0.05
322,0.5,11.7,0.05
324,0.5,9.8,0.05
326,0.5,8.8,0.05
328,0.5,7.4,0.05
330,0.5,3.5,0.05
332,0.5,0.5,0.05
334,0.5,-0.8,0.05
336,0.5,-1.1,0.05
338,0.5,-0.4,0.05
340,0.5,-0.3,0.05
