theta [deg],delta_theta [deg],I [V],delta_I [V]
270,0.5,3.1,0.05
272,0.5,3,0.05
274,0.5,4.1,0.05
276,0.5,8,0.05
278,0.5,17.1,0.05
280,0.5,37,0.05
282,0.5,67.6,0.05
284,0.5,95.1,0.05
286,0.5,122.2,0.05
288,0.5,153.5,0.05
290,0.5,183.2,0.05
292,0.5,214,0.5
294,0.5,245,0.5
296,0.5,279,0.5
298,0.5,305,0.5
300,0.5,331,0.5
302,0.5,357,0.5
304,0.5,398,0.5
306,0.5,401,0.5
308,0.5,403,0.5
309,0.5,415,0.5
310,0.5,405,0.5
312,0.5,393,0.5
314,0.5,375,0.5
316,0.5,324,0.5
318,0.5,255,0.5
320,0.5,171.4,0.05
322,0.5,106.7,0.05
324,0.5,78.9,0.05
326,0.5,62.3,0.05
328,0.5,50.2,0.05
330,0.5,27.2,0.05
332,0.5,8.9,0.05
334,0.5,4.1,0.05
336,0.5,3.2,0.05
338,0.5,4.2,0.05
340,0.5,4.1,0.05
