V [V],dV [V],I [nA],dI [nA]
2,0.01,6.3,0.1
1.9,0.01,6.1,0.1
1.8,0.01,6,0.1
1.7,0.01,5.8,0.1
1.6,0.01,5.6,0.1
1.5,0.01,5.4,0.1
1.4,0.01,5.1,0.1
1.3,0.01,4.9,0.1
1.2,0.01,4.7,0.1
1.1,0.01,4.4,0.1
1,0.01,4.1,0.1
0.9,0.01,3.8,0.1
0.8,0.01,3.5,0.1
0.7,0.01,3.1,0.1
0.6,0.01,2.8,0.1
0.5,0.01,2.4,0.1
0.4,0.01,2.1,0.1
0.3,0.01,1.7,0.1
0.2,0.01,1.3,0.1
0.1,0.01,0.7,0.1
0.08,0.001,0.6,0.1
0.06,0.001,0.5,0.1
0.04,0.001,0.4,0.1
0.02,0.001,0.3,0.1
0,0.001,0.2,0.1
-0.02,0.001,0.1,0.1
-0.04,0.001,0.1,0.1
-0.06,0.001,0.06,0.1
-0.08,0.001,0.031,0.1
-0.092,0.001,0,0.1
