V [V],dV [V],I [nA],dI [nA]
2,0.01,6.2,0.1
1.9,0.01,6.05,0.1
1.803,0.01,5.85,0.1
1.703,0.01,5.7,0.1
1.606,0.01,5.5,0.1
1.5,0.01,5.3,0.1
1.401,0.01,5.1,0.1
1.3,0.01,4.9,0.1
1.2,0.01,4.7,0.1
1.107,0.01,4.5,0.1
1,0.01,4.25,0.1
0.903,0.01,4,0.1
0.798,0.01,3.8,0.1
0.698,0.01,3.5,0.1
0.597,0.01,3.2,0.1
0.503,0.01,3,0.1
0.401,0.01,2.7,0.1
0.308,0.01,2.4,0.1
0.197,0.01,2,0.1
0.1081,0.001,1.4,0.1
0.0526,0.001,1,0.1
0.0274,0.001,0.8,0.01
0.0021,0.001,0.6,0.01
-0.0141,0.001,0.5,0.01
-0.0286,0.001,0.4,0.01
-0.0547,0.001,0.25,0.01
-0.059,0.01,0.006,0.001
-0.0798,0.001,0.1,0.001
-0.061,0.01,0,0.001
-0.0998,0.001,0,0.001
