V [V],dV [V],I [nA],dI [nA]
2,0.01,7.4,0.1
1.9,0.01,7.1,0.1
1.8,0.01,6.9,0.1
1.7,0.01,6.7,0.1
1.6,0.01,6.4,0.1
1.5,0.01,6,0.1
1.4,0.01,5.7,0.1
1.3,0.01,5.4,0.1
1.2,0.01,5.1,0.1
1.1,0.01,4.8,0.1
1,0.01,4.5,0.1
0.9,0.01,4.1,0.1
0.8,0.01,3.7,0.1
0.7,0.01,3.4,0.1
0.6,0.01,3,0.1
0.5,0.01,2.8,0.1
0.4,0.01,2.4,0.1
0.3,0.01,1.4,0.1
0.2,0.01,1,0.1
0.1,0.01,0.64,0.01
0.07,0.001,0.46,0.01
0.029,0.001,0.33,0.01
0,0.001,0.21,0.01
-0.03,0.001,0.18,0.01
-0.04,0.001,0.1,0.01
-0.06,0.001,0.096,0.01
-0.072,0.001,0.06,0.01
-0.088,0.001,0.006,0.001
-0.091,0.001,0,0.001
