Filename,Label,Thickness_mm,Sheet_Count,Mean_Intensity,Std_Dev,Max_Bit
0001002A,Serie_Calibracion,7.5,500,3221.9488452173914,24.5530047359804,4095
0001003A,Serie_Calibracion,6.75,450,3351.1552428985506,23.027024896355538,4095
0001005A,Serie_Calibracion,6.1049999999999995,407,3455.6598933333335,21.355139284976946,4095
0001006A,Serie_Calibracion,5.475,365,3549.679155942029,19.769330728174822,4095
0001007A,Serie_Calibracion,5.115,341,3598.431495652174,19.186682445010444,4095
0001008A,Serie_Calibracion,4.455,297,3682.7376985507244,17.3271966660898,4095
0001009A,Serie_Calibracion,3.81,254,3751.045633623188,14.597531973021303,4095
0001010A,Serie_Calibracion,3.315,221,3799.067424927536,13.632760917344987,4095
0001011A,Serie_Calibracion,2.79,186,3845.7845379710143,12.609614477700815,4095
0001012A,Serie_Calibracion,2.1149999999999998,141,3899.5538863768115,11.209934113265515,4095
0001013A,Serie_Calibracion,1.605,107,3937.4475652173915,10.366679683388307,4095
0001014A,Serie_Calibracion,1.4549999999999998,97,3947.640818550725,10.078826439899542,4095
0001015A,Serie_Calibracion,1.305,87,3957.2035698550726,9.818488139537196,4095
0001016A,Serie_Calibracion,1.155,77,3966.7588985507246,9.447337985974594,4095
0001017A,Serie_Calibracion,1.08,72,3973.0057460869566,8.996741340095154,4095
0001018A,Serie_Calibracion,0.9299999999999999,62,3981.248699130435,8.300120843012763,4095
0001019A,Serie_Calibracion,0.63,42,3996.767619710145,7.600515486034483,4095
0001020A,Serie_Calibracion,0.78,52,3981.4816104347824,8.327016596931854,4095
0001021A,Serie_Calibracion,0.48,32,4003.9655860869566,7.45610397698536,4095
0001022A,Serie_Calibracion,0.18,12,4018.2473936231886,7.017280709798376,4095
0001023A,Serie_Calibracion,0.03,2,4021.493496811594,6.974925789285212,4095
0001024A,Serie_Calibracion,0.015,1,4022.4217820289855,6.9093297915176395,4095
0001025A,Serie_Calibracion,0.075,5,4019.8509101449276,6.9736643450295865,4095
