Filename,Label,Thickness_mm,Sheet_Count,Mean_Intensity,Std_Dev,Max_Bit
0001002A,Serie_Calibracion,52.900000000000006,500,3275.970646351208,24.553004735980398,4095
0001003A,Serie_Calibracion,47.61,450,3405.177044032367,23.02702489635553,4095
0001005A,Serie_Calibracion,43.0606,407,3509.68169446715,21.355139284976953,4095
0001006A,Serie_Calibracion,38.617000000000004,365,3603.7009570758455,19.769330728174825,4095
0001007A,Serie_Calibracion,36.0778,341,3652.45329678599,19.186682445010444,4095
0001008A,Serie_Calibracion,31.422600000000003,297,3736.7594996845405,17.327196666089808,4095
0001009A,Serie_Calibracion,26.8732,254,3805.0674347570043,14.597531973021306,4095
0001010A,Serie_Calibracion,23.381800000000002,221,3853.0892260613523,13.63276091734499,4095
0001011A,Serie_Calibracion,19.678800000000003,186,3899.8063391048304,12.609614477700816,4095
0001012A,Serie_Calibracion,14.917800000000002,141,3953.5756875106276,11.209934113265517,4095
0001013A,Serie_Calibracion,11.3206,107,3991.469366351207,10.366679683388305,4095
0001014A,Serie_Calibracion,10.2626,97,4001.6626196845405,10.078826439899544,4095
0001015A,Serie_Calibracion,9.204600000000001,87,4011.2253709888882,9.818488139537195,4095
0001016A,Serie_Calibracion,8.146600000000001,77,4020.7806996845407,9.447337985974595,4095
0001017A,Serie_Calibracion,7.6176,72,4027.0275472207722,8.996741340095156,4095
0001018A,Serie_Calibracion,6.5596000000000005,62,4035.2705002642506,8.300120843012763,4095
0001019A,Serie_Calibracion,4.4436,42,4050.7894208439607,7.600515486034479,4095
0001020A,Serie_Calibracion,5.5016,52,4035.5034115685985,8.327016596931855,4095
0001021A,Serie_Calibracion,3.3856,32,4057.9873872207722,7.456103976985359,4095
0001022A,Serie_Calibracion,1.2696,12,4072.2691947570042,7.017280709798376,4095
0001023A,Serie_Calibracion,0.2116,2,4075.51529794541,6.974925789285211,4095
0001024A,Serie_Calibracion,0.1058,1,4076.4435831628016,6.909329791517639,4095
0001025A,Serie_Calibracion,0.529,5,4073.8727112787433,6.973664345029588,4095
