d [cm],delta_d [cm],m [g],delta_m [g]
0.002,0.0001,0.0824,0.0001
0.01649,0.0001,0.0134,0.0001
0.02619,0.0001,-0.0093,0.0001
0.0353,0.0001,-0.0303,0.0001
0.03818,0.0001,-0.0318,0.0001
0.04119,0.0001,-0.0263,0.0001
0.0445,0.0001,-0.0169,0.0001
0.05113,0.0001,-0.0102,0.0001
0.05475,0.0001,-0.00099,0.0001
0.05746,0.0001,-0.0051,0.0001
0.05987,0.0001,-0.0035,0.0001
0.06197,0.0001,-0.0013,0.0001
0.06649,0.0001,-0.0012,0.0001
0.06107,0.0001,-0.0024,0.0001
0.05776,0.0001,-0.0036,0.0001
0.05445,0.0001,-0.0042,0.0001
0.04811,0.0001,-0.0155,0.0001
0.04094,0.0001,-0.028,0.0001
0.03485,0.0001,-0.0603,0.0001
0.03079,0.0001,-0.0673,0.0001
0.022,0.0001,-0.0648,0.0001
0.0186,0.0001,-0.0614,0.0001
0.01317,0.0001,-0.0558,0.0001
0.01145,0.0001,-0.0492,0.0001
0.0101,0.0001,-0.043,0.0001
0.009,0.001,-0.0342,0.0001
0.008,0.001,-0.0276,0.0001
0.007,0.001,-0.0215,0.0001
0.006,0.001,-0.016,0.0001
0.005,0.001,-0.0076,0.0001
0.004,0.001,0.0016,0.0001
0.003,0.001,0.0135,0.0001
0.002,0.001,0.0242,0.0001
