d [cm],delta_d [cm],m [g],delta_m [g]
0.06897,0.0001,0.0074,0.0001
0.06676,0.0001,0.0077,0.0001
0.06208,0.0001,0.0092,0.0001
0.06015,0.0001,0.0095,0.0001
0.05821,0.0001,0.0097,0.0001
0.05586,0.0001,0.0098,0.0001
0.05353,0.0001,0.0100,0.0001
0.05159,0.0001,0.0102,0.0001
0.05001,0.0001,0.0105,0.0001
0.04729,0.0001,0.0107,0.0001
0.04417,0.0001,0.0112,0.0001
0.04185,0.0001,0.0115,0.0001
0.03871,0.0001,0.0121,0.0001
0.03521,0.0001,0.0128,0.0001
0.03173,0.0001,0.0136,0.0001
0.02900,0.0001,0.0145,0.0001
0.02589,0.0001,0.0161,0.0001
0.02315,0.0001,0.0183,0.0001
0.02002,0.0001,0.0214,0.0001
0.01759,0.0001,0.0236,0.0001
0.01419,0.0001,0.0267,0.0001
0.01100,0.001,0.0302,0.0001
0.00900,0.001,0.0365,0.0001
0.00800,0.001,0.0438,0.0001
0.00600,0.001,0.0535,0.0001
0.00400,0.001,0.0631,0.0001
0.00200,0.001,0.0811,0.0001
0.00300,0.001,0.0654,0.0001
0.00400,0.001,0.0310,0.0001
0.00500,0.001,0.0164,0.0001
0.00600,0.001,0.0069,0.0001
0.00700,0.001,0.0018,0.0001
0.00800,0.001,-0.0021,0.0001
0.00900,0.001,-0.0064,0.0001
0.01100,0.001,-0.0093,0.0001
0.01359,0.0001,-0.0133,0.0001
0.01634,0.0001,-0.0155,0.0001
0.01907,0.0001,-0.0185,0.0001
0.02400,0.0001,-0.0205,0.0001
0.03016,0.0001,-0.0210,0.0001
0.03332,0.0001,-0.0211,0.0001
0.03679,0.0001,-0.0181,0.0001
0.04001,0.0001,-0.0150,0.0001
0.04424,0.0001,-0.0117,0.0001
0.04730,0.0001,-0.0097,0.0001
0.04946,0.0001,-0.0073,0.0001
0.05218,0.0001,-0.0058,0.0001
0.05531,0.0001,-0.0044,0.0001
0.05754,0.0001,-0.0027,0.0001
0.05992,0.0001,-0.0018,0.0001
0.06232,0.0001,0.0000,0.0001
