d [cm],delta_d [cm],B [G],delta_B [G],,
2.747,0.1,186,1,,
2.995,0.1,154.3,0.1,,
3.154,0.1,134.5,0.1,,
3.35,0.1,124.4,0.1,,
3.542,0.1,110.3,0.1,,
3.763,0.1,97.6,0.1,,
3.953,0.1,88.3,0.1,,
4.048,0.1,80.6,0.1,,
4.147,0.1,74.1,0.1,,
4.347,0.1,64.1,0.1,,
4.569,0.1,60.4,0.1,,
4.656,0.1,57.1,0.1,,
4.723,0.1,52.1,0.1,,
5.041,0.1,48.3,0.1,,
5.164,0.1,45.3,0.1,,
5.28,0.1,39.8,0.1,,
5.444,0.1,37.7,0.1,,
5.597,0.1,35.4,0.1,,
5.725,0.1,33.4,0.1,,
5.799,0.1,31.6,0.1,,
5.921,0.1,29.8,0.1,,
5.984,0.1,28.5,0.1,,
,,,,,
